Form,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
NSAR-U,,1,9,62,148,680,740,748,802,817,836,842,835,850,823,823,823,808,773,770,772,739,722,722,731,723,11,,"16,610"
NSAR-U/A,,,,2,30,24,11,24,48,6,21,16,17,20,4,14,12,5,7,13,9,6,17,22,14,10,,,352
NT 10-D,,,,,,,,,,,,,,6,,,,,,,,1,,,2,,,,9
NT 10-D/A,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
NT 10-K,,51,187,749,"1,533","1,687","1,815","2,285","2,493","2,455","2,310","2,061","2,540","2,357","2,278","2,308","2,122","1,817","1,704","1,574","1,542","1,423","1,332","1,211","1,070",968,874,714,"43,460"
NT 10-K/A,,1,6,21,36,41,36,41,49,43,34,58,37,43,17,27,36,21,21,10,19,8,7,18,17,12,9,25,693
NT 10-Q,,68,373,"1,261","1,757","1,828","1,940","3,705","4,046","4,114","3,632","3,604","4,377","4,575","4,062","3,681","3,422","3,079","3,179","2,908","2,701","2,502","2,239","2,142","1,874","1,671","1,555","1,068","71,363"
NT 10-Q/A,,3,7,16,16,18,36,37,38,49,33,53,41,36,32,25,18,15,25,25,12,10,8,9,10,7,6,17,602
NT 11-K,,1,36,50,66,106,124,112,75,123,117,143,121,121,124,61,69,25,27,23,23,11,27,30,18,14,3,7,"1,657"
NT 11-K/A,,1,,1,,,2,2,,,1,1,1,,,,2,,,,,,4,,,,,,15
NT 15D2,,1,1,,,1,,,1,1,2,,,,1,,,,,,,,,,,,,,8
NT 15D2/A,,,,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,7
NT 20-F,,,,,5,6,10,18,27,85,120,118,110,117,101,80,82,58,60,81,62,64,64,60,62,77,83,72,"1,622"
NT 20-F/A,,,,,,,,,1,2,6,1,1,2,1,1,2,,1,1,,,1,2,2,2,,,26
NT N-CEN,,,,,,,,,,,,,,,,,,,,,,,,,,12,93,33,138
NT N-MFP,,,,,,,,,,,,,,,,,,29,28,70,20,41,30,17,,,,,235
NT N-MFP1,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,35
NT N-MFP2,,,,,,,,,,,,,,,,,,,,,,,,10,10,54,28,14,116
NT NPORT-EX,,,,,,,,,,,,,,,,,,,,,,,,,,,27,58,85
NT NPORT-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90
NT-NCEN,,,,,,,,,,,,,,,,,,,,,,,,,,5,47,6,58
NT-NCEN/A,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2
NT-NCSR,,,,,,,,,,,35,22,30,64,55,28,18,14,12,4,10,5,6,27,11,9,14,8,372
NT-NCSR/A,,,,,,,,,,,,1,3,2,,3,1,2,1,2,1,1,,,1,3,2,3,26
NT-NSAR,1,4,28,100,216,253,333,391,342,144,122,113,159,101,42,61,38,23,16,17,20,11,18,17,17,5,,,"2,592"
NT-NSAR/A,,3,,15,10,5,,14,3,8,9,3,6,11,4,1,5,2,2,7,,1,1,2,2,1,,,115
NTFNCEN,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,16
NTFNCSR,,,,,,,,,,,,30,4,3,3,1,3,2,1,6,,2,3,1,1,3,,3,66
NTFNSAR,,2,4,3,14,20,70,3,21,9,4,2,2,1,7,1,3,2,2,3,2,1,1,,1,,,,178
NTN 10D,,,,,,,,,,,,,,1,,,3,,,,,,1,,,,,,5
NTN 10K,,2,5,24,58,83,66,92,109,102,111,110,81,80,71,78,122,45,37,46,39,44,57,44,,,,,"1,506"
NTN 10Q,,8,9,49,55,135,99,112,259,172,157,124,120,138,130,125,76,58,88,103,67,51,62,41,,,,,"2,238"
NTN 11K,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,18
NTN 20F,,,,2,,,,,3,3,3,3,4,4,4,1,3,6,,,,,,,,,,,36
NTN15D2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
OIP NTC,,,,,,,,,,,,,,,,,4,90,20,15,18,4,2,2,5,2,2,2,166
OIP ORDR,,,,,,,,,,,,,,,,,7,67,42,13,18,4,2,2,1,2,3,1,162
POS 8C,,,,9,39,25,16,33,29,25,36,58,48,75,67,82,109,108,81,117,191,144,170,197,180,164,128,68,"2,199"
POS AM,,163,425,947,"1,493","1,598","1,617","1,283","1,447","1,382","1,734","2,536","2,254","2,321","2,270","2,338","2,053","2,277","2,030","1,706","1,346","1,116","1,897","1,352","1,136",948,852,963,"41,484"
POS AMC,,144,175,119,110,58,82,121,97,93,87,40,53,1,,,,,,,,,,,,,,,"1,180"
POS AMI,1,44,202,320,293,307,233,263,277,274,292,247,232,225,207,244,234,211,216,212,223,227,236,289,212,190,185,200,"6,296"
POS EX,,,,,9,42,74,75,69,73,79,66,94,166,112,160,121,132,395,490,272,426,266,406,405,419,336,358,"5,045"
POS462B,,,,9,33,29,15,18,15,19,5,4,14,4,5,3,5,4,7,5,2,1,3,7,2,7,7,3,226
POS462C,,,,2,8,8,7,10,8,6,5,1,7,2,3,4,,,,,,1,3,,,,,,75
POSASR,,,,,,,,,,,,,2,503,779,734,878,"1,489",694,"2,725","1,500","1,983","2,455","2,736","4,206","1,241",998,900,"23,823"
PRE 14A,,560,774,"1,636","2,017","2,109","1,934","1,931","1,549","1,871","1,775","1,843","2,003","2,043","1,930","1,821","2,046","1,552","1,212","1,100","1,277","1,249","1,161","1,161","1,116","1,078",932,"1,225","40,905"
PRE 14C,,4,21,82,133,128,152,254,322,410,466,646,598,613,578,536,498,492,408,346,386,404,417,328,352,289,307,254,"9,424"
PRE13E3,,2,25,34,46,64,43,9,,,,,,,,,,,,,,,,,,,,,223
PRE13E3/A,,11,42,46,77,67,103,19,,,,,,,,,,,,,,,,,,,,,365
PREA14A,,10,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,13
PREA14C,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
PREC14A,,49,61,105,159,169,201,233,188,156,219,105,133,139,181,206,225,145,133,149,157,152,169,195,122,146,163,155,"4,215"
PREC14C,,4,,,6,2,1,6,6,5,8,1,3,1,,6,11,3,3,4,3,4,1,2,,,,,80
PREM14A,,14,37,119,144,161,206,330,298,224,238,225,236,314,343,178,125,183,167,129,128,119,128,146,137,147,140,103,"4,719"
PREM14C,,1,6,14,16,23,44,47,43,48,41,37,32,34,46,35,17,19,25,27,9,17,13,16,15,11,12,8,656
PREN14A,,2,14,60,51,32,36,28,24,32,25,14,33,66,37,52,55,20,20,18,20,28,10,4,12,12,12,6,723
PRER14A,,75,212,375,546,672,566,531,637,577,634,547,559,603,558,569,616,371,307,246,370,263,239,285,210,171,174,234,"11,147"
PRER14C,,1,9,28,50,47,35,33,70,115,113,137,188,194,146,178,163,147,144,94,103,117,93,58,69,65,34,40,"2,471"
PRES14A,,64,218,533,775,696,602,795,714,161,,,,,,,,,,,,,,,,,,,"4,558"
PRES14C,,,2,16,29,12,12,19,26,5,,,,,,,,,,,,,,,,,,,121
PRRN14A,,14,60,141,231,214,215,196,182,158,227,130,161,168,161,134,282,152,133,124,147,152,168,172,86,110,118,70,"4,106"
PX14A6G,,1,2,,18,13,13,8,20,30,41,105,55,62,113,48,68,58,98,142,182,188,342,228,314,338,372,438,"3,297"
PX14A6N,,,,,,,,,6,,,2,6,,10,,,,8,2,,,16,4,12,2,10,,78
QRTLYRPT,,,,,,,,,,,10,4,3,5,4,3,3,3,3,3,3,7,12,8,19,16,17,20,143
QRTLYRPT/A,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,3
QUALIF,,,,,,,,,,,,,,,,,,,,,,,15,125,169,260,225,310,"1,104"
REG-NR,,,,,,,,,,1,8,6,7,3,4,3,1,5,6,,5,,2,1,1,10,3,,66
REG-NR/A,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
REGDEX,1,,2,5,2,5,14,23,45,"14,000","14,149","16,194","18,270","19,433","20,923","19,566","4,125",,,,,,,,,,,,"126,757"
REGDEX/A,,,,1,,2,1,3,7,"3,495","3,686","4,553","5,417","6,451","7,614","7,002","3,715",,,,,,,,,,,,"41,947"
REVOKED,,,,,,,,,,,1,51,124,160,185,472,495,590,596,438,472,483,470,350,155,99,486,169,"5,796"
RW,,33,61,214,386,418,403,887,899,698,655,621,701,794,646,650,643,610,581,444,364,356,370,412,705,331,294,241,"13,417"
RW WD,,,,,,,,,,18,44,26,29,31,26,41,23,38,28,18,13,14,6,14,12,14,8,10,413
S-1,,41,87,916,"1,093",922,"1,002","1,055",433,482,411,"1,046",649,"1,026",976,"1,352","1,198","1,359","1,472","1,115","1,119","1,297",860,715,792,802,701,"1,173","24,094"
S-1/A,,96,191,"2,457","2,860","2,395","3,261","2,944",958,"1,193",944,"2,814","1,892","2,239","2,287","2,659","2,267","3,438","3,909","3,037","2,763","3,035","2,133","1,742","1,666","1,580","1,217","1,747","57,724"
S-11,,7,,45,75,69,23,15,29,58,78,92,69,31,29,33,56,70,52,49,70,56,37,25,34,13,21,24,"1,160"
S-11/A,,9,4,102,237,196,77,29,62,131,185,309,233,118,75,88,199,303,201,191,229,147,125,93,95,38,31,49,"3,556"
S-11MEF,,,,4,11,2,,,2,2,7,4,11,5,,2,1,1,4,4,7,9,1,1,1,3,1,,83
S-1MEF,,,,100,117,63,88,65,26,35,24,54,46,68,63,17,23,44,37,41,98,110,91,48,83,111,80,246,"1,778"
S-2,,32,62,119,163,117,74,81,91,72,84,99,75,,,,,,,,,,,,,,,,"1,069"
S-2/A,,154,116,174,282,173,76,96,115,120,137,142,130,,,,,,,,,,,,,,,,"1,715"
S-20,,,,1,1,1,,1,,1,,,,,,,,,,1,,,,,,,,,6
S-20/A,,,,,2,,,,,,,,,1,,,,,,1,1,,,,,,,,5
S-2MEF,,,,11,14,8,,5,15,9,9,4,5,,,,,,,,,,,,,,,,80
S-3,1,725,"1,097","2,349","3,099","3,528","2,948","3,263","3,492","3,524","3,487","3,275","2,797","1,463","1,530","1,039","2,684","1,269","1,243","1,105","1,287","1,222","1,254","1,079","1,179",838,816,"1,037","52,630"
S-3/A,,"1,035","1,104","2,330","3,018","2,971","2,940","2,551","3,020","4,611","3,386","3,645","2,502","1,421","1,395",575,"2,483","1,026","1,542",693,"1,492",977,712,514,674,386,297,420,"47,720"
S-3ASR,,,,,,,,,,,,,522,"2,175","1,554","1,166","1,934","1,994","1,122","3,213","2,039","2,850","3,787","2,338","2,325","2,305","2,126","2,242","33,692"
S-3D,,41,57,67,93,55,54,40,28,42,38,38,37,22,25,38,39,19,24,30,28,23,24,26,18,11,16,14,947
S-3D/A,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5
S-3DPOS,,36,34,31,53,41,34,17,15,16,20,18,22,20,13,19,31,18,13,33,21,20,21,22,23,21,23,16,651
S-3MEF,,,11,249,212,156,115,82,244,110,102,70,83,37,69,19,59,42,54,25,43,29,20,17,18,21,16,56,"1,959"
S-4,,269,383,"1,017","2,348","3,132","3,371","1,288","4,294","3,315","5,027","5,247","4,516","3,464","3,980","1,760","1,997","5,316","6,930","4,137","6,745","4,964","4,405","2,943","3,017","1,629","1,380","1,211","88,085"
S-4 POS,,30,23,26,31,32,26,14,16,11,15,5,17,3,9,6,2,2,2,2,,4,50,3,1,5,4,7,346
S-4/A,,271,569,"1,371","3,409","5,586","5,290","2,369","4,764","5,214","7,071","7,185","6,128","4,292","4,161","2,748","2,073","7,889","8,248","6,246","7,535","3,001","2,969","1,484","1,570",619,693,950,"103,705"
S-4EF,,2,,4,17,15,4,9,9,4,3,,1,1,4,,,,,,1,,,,,,,1,75
S-4EF/A,,,,2,10,5,,5,1,2,1,,1,,2,,,,,,,,,,,,,,29
S-4MEF,,,,,11,25,13,12,14,6,6,7,4,5,5,5,3,,2,2,2,6,4,15,5,5,6,5,168
S-6,,79,81,69,132,570,634,679,611,537,498,468,525,581,703,789,938,"1,131","1,190","1,287","1,207","1,340","1,358","1,273","1,221","1,113","1,010","1,019","21,043"
S-6/A,,3,13,9,49,237,288,228,177,153,103,60,75,85,149,221,313,377,373,716,664,748,755,800,776,441,229,213,"8,255"
S-6EL24,,312,333,391,358,,,,,,,,,,,,,,,,,,,,,,,,"1,394"
S-6EL24/A,,36,89,120,116,,,,,,,,,,,,,,,,,,,,,,,,361
S-8,,990,"1,785","4,099","5,196","5,224","5,127","5,786","5,292","4,536","4,028","4,076","3,499","3,135","2,965","2,518","2,389","2,249","2,169","1,985","2,100","2,184","2,144","1,994","2,045","2,041","2,006","2,253","83,815"
S-8 POS,,131,307,524,730,761,737,771,873,830,882,798,945,"1,078","1,361","1,444","1,516","2,055","1,846","1,728","1,594","1,665","2,086","2,361","2,071","1,771","1,747","1,866","34,478"
S-8/A,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,17
S-B,,,,,,,,,,35,30,20,16,24,13,19,24,21,13,25,15,12,19,16,19,17,7,23,368
S-B/A,,,,,,,,,,12,16,14,14,15,8,5,15,16,10,11,5,7,14,9,16,11,7,16,221
S-BMEF,,,,,,,,,,,,1,1,1,4,1,,,1,,1,,2,1,,,,,13
SB-1,,,,2,9,8,17,29,12,15,10,3,4,27,14,,,,,,,,,,,,,,150
SB-1/A,,,,7,17,8,31,53,44,30,41,26,18,51,28,,,,,,,,,,,,,,354
SB-1MEF,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
SB-2,,,18,272,398,377,393,738,653,602,434,799,883,"1,032","1,055",123,,,,,,,,,,,,,"7,777"
SB-2/A,,,45,617,935,801,781,"1,151","1,644","1,434","1,192","1,590","2,027","2,211","1,925",187,,,,,,,,,,,,,"16,540"
SB-2MEF,,,1,11,9,13,6,2,4,13,9,10,12,5,9,,,,,,,,,,,,,,104
SC 13D,,613,"1,373","4,523","7,527","6,695","6,305","6,242","5,505","5,215","5,403","4,910","5,118","5,538","5,499","4,920","3,778","3,878","3,691","2,951","2,895","3,033","3,011","2,795","2,656","2,566","2,220","2,288","111,148"
SC 13D/A,2,"1,687","3,997","7,721","10,790","10,923","10,237","10,160","9,765","9,886","10,026","10,249","9,837","10,441","11,310","10,739","9,871","9,043","8,320","7,710","8,486","7,983","8,367","8,521","8,273","8,366","7,596","8,254","238,560"
SC 13E1,,,,5,,2,2,2,2,1,2,1,,,,,,,1,1,,,2,,,,,,21
SC 13E1/A,,,,5,,2,2,,1,,,,2,,,,,1,,,,,,1,,,,,14
SC 13E3,,19,36,91,123,135,244,187,224,137,232,140,161,145,125,82,105,102,94,54,81,43,33,78,39,44,29,56,"2,839"
SC 13E3/A,,53,136,292,289,430,609,424,419,375,517,503,634,496,495,344,381,411,386,212,312,258,103,287,155,160,122,165,"8,968"
SC 13E4,,38,97,127,197,132,152,8,1,,,,,,,,,,,,,,,,,,,,752
SC 13E4/A,,56,196,244,349,225,232,53,2,,,,,,,,,,,,,,,,,,,,"1,357"
SC 13G,,"3,145","4,691","6,591","17,494","22,365","18,645","19,321","18,256","13,333","13,330","15,157","18,005","20,018","21,207","22,123","16,883","15,011","13,153","12,823","13,321","14,023","14,854","12,518","11,602","11,409","11,799","12,838","393,915"
SC 13G/A,,"5,400","9,232","13,765","20,819","24,884","25,422","24,682","23,959","25,883","25,046","24,359","24,857","28,436","32,170","33,726","33,635","29,040","28,587","29,077","30,304","31,073","32,750","34,190","32,690","31,533","31,165","31,221","717,905"
SC 14D1,,68,235,297,467,493,807,16,,,,,,,,,,,,,,,,,,,,,"2,383"
SC 14D1/A,,456,"1,281","1,382","1,838","2,483","2,493",366,18,1,,,,,,,,,,,,,,,,,,,"10,318"
SC 14D9,,28,128,225,228,261,381,361,255,232,191,164,149,152,277,147,121,127,134,99,90,96,113,102,86,77,46,67,"4,337"
SC 14D9/A,,151,288,319,427,457,491,390,451,329,338,277,239,408,498,365,439,566,497,422,295,367,342,353,296,248,147,203,"9,603"
SC 14F1,,3,16,32,46,60,81,91,75,119,116,132,171,155,203,157,110,166,130,78,73,79,45,52,45,48,26,31,"2,340"
SC 14F1/A,,1,,2,3,5,9,12,3,25,18,21,37,18,22,12,6,10,7,4,,1,2,7,4,4,1,6,240
SC 14N,,,,,,,,,,,,,,,,,,,,,,,,4,7,2,3,4,20
SC 14N/A,,,,,,,,,,,,,,,,,,,,,,,,2,9,,2,2,15
SC TO-C,,,,,,,,536,480,391,388,311,337,575,605,534,627,514,428,354,334,281,309,398,288,208,221,220,"8,339"
SC TO-I,,,,,,,,163,375,333,348,291,362,434,507,469,567,492,467,541,511,521,523,526,504,488,465,399,"9,286"
SC TO-I/A,,,,,,,,297,880,801,884,659,644,760,903,736,"1,111",838,637,761,740,684,735,706,722,648,659,591,"15,396"
SC TO-T,,,,,,,,591,473,387,290,210,217,217,364,234,194,232,210,168,222,188,198,174,154,134,88,116,"5,061"
SC TO-T/A,,,,,,,,"2,023","1,889","1,796","1,475","1,213","1,147","1,236","1,768","1,067","1,254","1,436","1,253",985,940,866,890,834,682,550,356,470,"24,130"
SC13E4F,,,,,,,,,,1,3,2,3,,1,1,2,1,,1,,,,,,1,1,,17
SC13E4F/A,,,,,,,,,,6,4,4,4,,2,1,1,,,,,,,,,2,2,,26
SC14D1F,,,,,,,,,,4,3,4,4,22,16,2,5,2,4,4,4,4,,,,4,2,2,86
SC14D1F/A,,,,,,,,,,14,12,8,6,74,40,22,1,15,28,4,28,16,,,,8,12,2,290
SC14D9C,,,,,,,,133,120,93,132,52,69,148,210,195,96,144,154,123,124,88,116,144,95,64,55,65,"2,420"
SC14D9F,,,,,,,,,,4,2,3,2,8,7,1,1,1,1,1,2,4,,,1,2,1,,41
SC14D9F/A,,,,,,,,,,1,2,2,3,15,5,2,,3,4,1,1,1,,,,,,,40
SD,,,,,,,,,,,,,,,,,,,,,,"1,334","1,284","1,230","1,166","1,124","1,089","1,058","8,285"
SD/A,,,,,,,,,,,,,,,,,,,,,,9,2,3,4,4,2,2,26
SDR,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2
SDR/A,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,4
SE,,,,,,,,,5,588,843,909,748,56,56,33,35,50,39,34,28,33,25,16,17,14,16,6,"3,551"
SEC ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5
SEC STAFF ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,36,123,82,241
SEC STAFF LETTER,,,,,,,,,,,,,,,,,,,1,,,,,,,1,267,432,701
SF-1,,,,,,,,,,,,,,,,,,,,,,,,1,,2,2,2,7
SF-1/A,,,,,,,,,,,,,,,,,,,,,,,,7,,8,4,,19
SF-3,,,,,,,,,,,,,,,,,,,,,,,70,22,6,49,34,12,193
SF-3/A,,,,,,,,,,,,,,,,,,,,,,,102,99,17,32,24,10,284
SL,,,,,,,,,,5,,1,,,,,,,,2,1,,,,,,,,9
SP 15D2,,,,2,9,2,5,2,2,,7,4,1,2,4,2,2,,1,4,2,3,1,,2,,,,57
SP 15D2/A,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,2
STOP ORDER,,,,,,,,,,,,,,,,,,,,1,1,27,11,3,15,,1,,59
SUPPL,,,,,,,1,,14,"7,023","7,362","7,103","7,548","8,302","7,907","5,408","2,381","1,423",153,231,168,169,133,103,65,74,92,195,"55,855"
T-3,,13,11,19,21,27,22,16,80,85,141,46,27,17,106,185,124,173,42,122,142,44,197,558,164,159,213,52,"2,806"
T-3/A,,10,9,6,15,31,12,26,54,147,69,64,42,13,92,244,227,261,48,170,196,37,600,267,356,237,742,83,"4,058"
T-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
TA-1,,,,,,,,,,45,26,46,42,31,26,26,23,14,12,9,9,3,6,10,8,6,31,31,404
TA-1/A,,,,,,,,,,225,247,224,289,282,497,202,274,219,183,153,171,203,214,175,179,158,160,167,"4,222"
TA-2,,,,,,,,,4,866,770,703,617,585,502,471,477,427,402,362,340,316,300,283,286,266,273,258,"8,508"
TA-2/A,,,,,,,,,4,46,34,31,33,24,49,58,67,56,34,48,25,44,40,36,41,27,22,29,748
TA-W,,,,,,,,,,47,41,36,42,36,48,32,38,22,20,13,16,16,14,13,21,13,15,14,497
TACO,,,,,,,,,,4,,1,,1,43,,1,,37,1,1,1,,,,36,,,126
TH,,,,,,,,,,,,,7,7,1,3,,,2,2,,,,1,2,,,,25
TTW,,,,,,,,,1,6,1,1,2,,,2,,,4,3,6,2,,,,,,,28
TTW/A,,,,,,,,,,1,,,,,,,,,,,6,1,,,,,,,8
U-1,,77,102,91,70,82,79,104,81,65,77,75,52,,,,,,,,,,,,,,,,955
U-1/A,,226,250,201,188,202,192,268,202,152,138,145,141,3,,,,,,,,,,,,,,,"2,308"
U-12-IA,,,,,,,8,13,4,2,3,7,5,,,,,,,,,,,,,,,,42
U-12-IA/A,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
U-12-IB,,30,35,17,21,275,365,298,287,261,302,310,226,110,,,,,,,,,,,,,,,"2,537"
U-12-IB/A,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4
U-13-60,,20,26,26,28,30,29,28,31,35,35,40,38,,,,,,,,,,,,,,,,366
U-13-60/A,,,3,,2,1,1,2,1,5,1,,1,,,,,,,,,,,,,,,,17
U-13E-1,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,3
U-33-S,,,,3,4,4,5,6,5,7,5,6,3,,,,,,,,,,,,,,,,48
U-33-S/A,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
U-3A-2,,52,73,76,90,104,103,97,87,82,86,80,81,,,,,,,,,,,,,,,,"1,011"
U-3A-2/A,,22,7,6,12,11,11,6,10,23,23,15,15,,,,,,,,,,,,,,,,161
U-3A3-1,,1,1,1,2,3,3,2,2,2,2,1,1,,,,,,,,,,,,,,,,21
U-57,,2,12,42,92,77,92,96,74,61,23,28,9,9,,,,,,,,,,,,,,,617
U-57/A,,,,3,16,14,42,9,50,54,23,19,10,,,,,,,,,,,,,,,,240
U-6B-2,,39,49,50,52,115,91,91,128,164,177,170,157,8,,,,,,,,,,,,,,,"1,291"
U-6B-2/A,,,,,1,2,1,,,1,3,1,,,,,,,,,,,,,,,,,9
U-7D,,,2,6,,3,9,,2,7,3,3,2,1,,,,,,,,,,,,,,,38
U-7D/A,,,,4,4,26,18,6,4,2,1,,1,,,,,,,,,,,,,,,,66
U-9C-3,,,,,22,55,63,62,75,80,82,94,103,,,,,,,,,,,,,,,,636
U-9C-3/A,,,,,,4,2,1,4,1,1,,3,,,,,,,,,,,,,,,,16
U5A,,,,,1,3,1,14,6,7,1,4,2,1,,,,,,,,,,,,,,,40
U5A/A,,,,,,,,1,,,,2,1,,,,,,,,,,,,,,,,4
U5B,,,1,,1,3,,6,10,5,,3,3,,,,,,,,,,,,,,,,32
U5B/A,,,1,,,1,,,3,2,2,1,,,,,,,,,,,,,,,,,10
U5S,,10,15,16,16,17,20,23,20,26,27,29,29,,,,,,,,,,,,,,,,248
U5S/A,,3,2,3,3,7,4,5,1,12,9,10,9,,,,,,,,,,,,,,,,68
UNDER,,,,,,,,7,7,7,4,2,5,1,3,2,,,3,,,,,,,,,,41
UNDER/A,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
UPLOAD,,,,,,,,,,,,641,"8,844","13,289","12,302","13,096","15,325","17,108","17,938","15,441","16,930","12,119","13,604","10,447","9,826","7,691","6,507","5,985","197,093"
WDL-REQ,,,,,,,,,,5,8,2,1,4,2,6,8,3,4,1,4,6,1,,,,,,55
X-17A-5,,,,,,2,,,7,"5,538","5,410","5,281","5,083","5,170","5,124","4,966","4,793","4,718","4,542","4,464","4,308","4,107","4,089","3,915","3,845","3,683","3,539","2,887","85,471"
X-17A-5/A,,,,,1,2,,,2,337,284,477,434,441,408,356,441,611,279,152,135,92,318,217,192,183,146,68,"5,576"
TOTAL,35,"65,461","113,651","202,614","280,130","313,300","321,262","341,962","351,443","448,884","790,772","1,024,212","1,072,293","1,096,629","1,137,504","1,036,835","938,510","979,764","979,653","975,111","990,606","996,892","995,491","953,061","971,352","949,930","951,478","1,040,830","20,319,665"
