Form,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
15F-15D/A,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,3
18-12B,,,,,,,,,,1,,1,,,1,,,,,,,2,,,,,,,5
18-K,,,,,,,1,,1,41,40,35,37,41,36,40,41,44,40,39,39,35,37,35,40,38,39,41,740
18-K/A,,,,,,,,1,2,92,110,98,101,111,104,98,132,136,133,137,127,122,130,136,135,131,139,182,"2,357"
19B-4,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2
19B-4E,,,,,,,,,7,23,18,127,109,271,"1,481","1,679","3,127","4,113","2,184","1,553","1,520","1,405","1,833","1,859","2,015","2,162",606,778,"26,870"
2-A,,,,,,,,,,8,8,2,4,3,,1,1,2,1,3,4,10,3,,,,,,50
2-A/A,,,,,,,,,,7,12,9,7,8,3,8,6,7,6,3,1,2,1,,,,,,80
2-AF,,,,,,,,,,4,7,4,3,,7,2,1,2,3,1,2,,,,,,,,36
2-E,,,,,,,,,,2,2,8,36,18,9,5,4,1,,,,,,,1,,,,86
2-E/A,,,,,,,,,,,,,3,4,1,2,1,,,,,,,,,,,,11
20-F,,,,9,39,108,144,195,281,"1,131","1,031","1,004","1,028",980,883,820,768,746,748,723,702,676,691,683,666,684,720,741,"16,201"
20-F/A,,,,7,3,28,21,55,57,148,189,234,331,233,214,193,188,217,226,267,197,90,81,73,88,162,99,104,"3,505"
20FR12B,,,,2,1,15,11,7,3,17,12,9,5,5,4,4,4,3,3,5,4,4,4,3,3,9,7,12,156
20FR12B/A,,,,1,,12,4,7,3,12,4,14,3,,10,1,,3,3,11,12,5,4,11,6,10,13,3,152
20FR12G,,,,4,9,6,24,20,16,41,26,44,35,27,29,13,13,15,6,8,5,11,6,2,1,3,1,6,371
20FR12G/A,,,,1,10,5,20,39,45,69,49,48,55,33,56,20,17,41,14,19,5,18,13,3,2,6,,8,596
24F-1,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,6
24F-2EL,,,5,4,11,,,,,,,,,,,,,,,,,,,,,,,,20
24F-2EL/A,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2
24F-2NT,2,"3,874","4,970","6,344","6,488","7,973","8,181","8,244","8,657","7,406","6,661","5,713","5,508","5,517","5,710","5,826","6,347","6,188","6,517","7,126","6,946","7,281","7,131","7,441","6,865","6,748","6,610","6,408","178,682"
24F-2NT/A,,10,80,79,82,"1,215",41,60,106,83,118,53,51,79,104,94,119,32,69,40,134,60,96,211,66,33,13,22,"3,150"
24F-2TM,,52,207,197,147,,,,,,,,,,,,,,,,,,,,,,,,603
25,,,,,,,1,,16,406,468,445,425,335,362,325,205,118,111,108,102,89,76,97,100,105,107,137,"4,138"
25-NSE,,,,,,,,,,,,,,"1,086","1,944","1,494","1,252","1,260","1,110","1,484","1,334","1,226","1,268","1,594","1,504","1,650","1,614","1,790","21,610"
25-NSE/A,,,,,,,,,,,,,,52,46,42,38,22,26,20,54,18,54,20,18,8,44,14,476
25/A,,,,,,,,,,,,,1,10,10,6,3,,1,,,1,1,,2,,4,4,43
253G1,,,,,,,,,,,,,,,,,,,,,,,,1,9,17,13,24,64
253G2,,,,,,,,,,,,,,,,,,,,,,,4,111,247,355,497,659,"1,873"
253G3,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,3,8
253G4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,3
26,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
3,,,,"1,149","2,983","4,317","5,282","6,852","5,327","8,694","27,814","47,801","47,356","46,869","52,898","37,477","31,171","33,279","32,264","30,265","31,834","36,150","32,839","29,600","30,527","30,855","30,203","35,039","678,845"
3/A,,,,28,162,197,167,317,254,362,"1,990","3,539","3,524","3,084","3,026","2,697","2,791","2,002","1,677","1,689","1,617","1,788","1,796","1,576","1,518","1,405","1,096","1,391","39,693"
305B2,,,6,16,43,73,59,50,88,90,77,90,104,101,142,77,452,183,136,213,228,249,164,104,228,118,133,119,"3,343"
305B2/A,,,,3,1,,,3,,1,,13,,,,,40,,2,,,,,,3,,,,66
34-12H,,,,,,,,,,,,,1,1,1,,,,,,1,1,1,,1,,,,7
35-APP,,,1,1,,,,2,2,,,,,,,,,,,,,,,,,,,,6
35-APP/A,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2
35-CERT,,422,494,489,480,431,448,425,436,436,402,375,356,18,,,,,,,,,,,,,,,"5,212"
35-CERT/A,,5,10,8,7,8,11,9,15,9,6,,6,4,,,,,,,,,,,,,,,98
39-304D,,,,,,,,,,1,1,4,1,1,1,,,,,,,,,,,,,,9
39-304D/A,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
39-310B,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2
4,,,,"4,312","12,758","18,432","19,899","22,606","21,689","56,942","324,449","476,172","474,215","468,480","486,241","456,300","387,113","404,831","393,744","398,395","400,134","400,454","397,906","380,115","376,572","375,242","364,713","376,274","7,497,988"
4/A,,,,123,236,540,478,705,954,"2,617","14,998","21,649","18,724","19,403","18,274","16,162","12,582","11,910","11,087","10,615","10,055","10,014","10,718","9,289","8,143","7,807","7,873","7,827","232,783"
40-17F1,,,,,,10,8,12,7,10,9,9,11,12,2,7,5,7,5,44,24,25,54,42,38,49,90,53,533
40-17F1/A,,,,,,,1,,,,,,,,,,,,,,,,,15,,1,,,17
40-17F2,,,,,75,415,686,806,809,731,"1,361","1,302","1,135","1,801","1,330","1,256",737,860,909,800,832,593,597,751,748,681,621,608,"20,444"
40-17F2/A,,,,,1,5,6,28,3,9,14,9,3,,20,1,6,1,2,2,1,14,5,,,4,1,,135
40-17G,,,,,,1,2,1,,"1,699","2,245","2,337","2,951","3,007","4,796","3,448","3,300","2,920","3,099","2,893","3,115","2,684","2,567","2,554","2,651","2,772","2,459","2,559","54,060"
40-17G/A,,,,,,,,,,4,,11,50,584,"1,298",520,"1,012","1,723",934,647,652,618,522,445,480,335,152,344,"10,331"
40-17GCS,,,,,,,,,,,,,,,,,,,,,,,,2,13,,3,1,19
40-202A,,,,,,,,,,,2,,8,7,,1,2,,,3,,1,,2,1,2,3,,32
40-202A/A,,,,,,,,,,,,2,2,2,1,7,,2,,,,8,2,2,2,,4,2,36
40-203A,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,2
40-203A/A,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2
40-205E,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,3
40-205E/A,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,2
40-206A,,,,,,,,,,6,,,2,,,,1,8,,3,4,6,,8,4,2,2,1,47
40-206A/A,,,,,,,,,,1,2,,,2,2,,1,1,,,1,11,9,2,1,1,2,3,39
40-24B2,,,,,,,,,,,,,16,32,"1,272",803,640,548,316,309,307,240,210,232,215,324,351,354,"6,169"
40-24B2/A,,,,,,,,,,,,,,,80,2,7,,2,1,,,,1,1,1,3,,98
40-33,,,,,,,,,,,127,279,188,54,57,40,41,53,39,12,14,34,18,57,24,16,9,3,"1,065"
40-33/A,,,,,,,,,,,,,,1,,,,1,,,,3,5,3,1,,,,14
40-6B,,,,,,,,,,4,3,5,7,5,12,13,3,4,2,3,1,,2,11,7,2,10,,94
40-6B/A,,,,,,,,,,7,17,57,9,6,66,84,33,41,57,76,103,26,1,2,19,6,16,14,640
40-6C,,,,1,,,,,,522,431,178,447,293,244,,,,,,,,,,,,,,"2,116"
40-6C/A,,,,,,1,,,,877,416,355,279,427,411,,,,,,,,,,,,,,"2,766"
40-8B25,,,,,,,,,,,,1,1,8,6,1,4,8,8,7,9,7,6,8,7,16,6,8,111
40-8F-2,,,,,,,1,,2,3,2,5,1,,,1,,,,,,1,,,,1,1,2,20
40-8F-2/A,,,,,,,,1,6,4,1,,1,1,,,2,3,,,,1,1,,,3,3,5,32
40-8F-A,,,,,,,17,22,27,20,15,22,,,,,,,,,,,,,,,,,123
40-8F-A/A,,,,,,,2,17,20,7,10,9,,,,,,,,,,,,,,,,,65
40-8F-B,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,4
40-8F-B/A,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
40-8F-L,,,,,,,60,71,106,83,83,52,,,,,,,,,,,,,,,,,455
40-8F-L/A,,,,,,,18,27,42,38,31,24,,,,,,,,,,,,,,,,,180
40-8F-M,,,,,,,30,126,127,103,78,72,,,,,,,,,,,,,,,,,536
40-8F-M/A,,,,,,,7,37,45,32,25,26,,,,,,,,,,,,,,,,,172
40-8FC,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3
40-8FC/A,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
40-APP,,,,,,,,2,1,276,304,194,248,215,252,885,637,485,562,440,664,541,826,616,949,"1,098",612,900,"10,707"
40-APP/A,,,,,,,,,,295,277,266,342,295,278,950,"1,585","1,126","1,344","2,096","1,469","1,785","1,740","2,525","1,640","1,215","1,791","2,629","23,648"
40-F,,,,,,,,,1,124,135,162,172,171,165,140,123,127,143,153,145,143,132,126,129,127,135,124,"2,677"
40-F/A,,,,,,,,,,21,18,25,51,46,54,28,42,15,24,36,23,23,14,11,12,21,23,17,504
40-OIP,,,,,,,,,,,,,,,,61,72,73,41,26,60,16,41,12,8,5,8,16,439
40-OIP/A,,,,,,,,,,,,,,,,9,143,240,58,65,80,58,37,78,16,19,39,43,885
40-RPT,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,2
40FR12B,,,,,,,,,,7,6,4,7,8,6,5,3,4,15,15,3,3,7,2,4,10,10,10,129
40FR12B/A,,,,,,,,,,3,1,4,8,2,4,1,,3,5,6,4,1,3,,4,6,5,6,66
40FR12G,,,,,,,,,,1,4,5,2,3,1,,,,3,2,,1,,1,,1,3,2,29
40FR12G/A,,,,,,,,,,,1,1,1,,1,,,,2,2,,,,,,,,1,9
424A,,21,46,167,161,100,98,729,44,21,33,46,21,26,30,17,13,12,11,7,4,2,3,8,,2,1,8,"1,631"
424B1,,121,216,904,974,898,775,479,394,687,319,551,239,220,194,99,79,170,183,87,174,91,117,61,81,76,64,65,"8,318"
424B2,,"1,204","1,562","1,704","2,026","1,864","1,209","1,257","1,743","1,815","2,129","1,552","1,860","5,093","7,709","7,621","5,961","8,869","12,391","13,762","13,937","15,513","16,771","24,654","37,462","46,817","51,858","67,616","355,959"
